node_id,name,node_type,description,evidence_source_id,paper_node_family,paper_node_note
N26,Documents and Manuscripts,ObjectClass,"Texts, administrative documents, manuscripts",S06_material_formats,Material / Memory object,Archival or memory material named in material-format or research documentation.
N27,Yearbooks and Student Publications,ObjectClass,Student experience and institutional life materials,S10_research_guide,Material / Memory object,Archival or memory material named in material-format or research documentation.
N28,Metadata Records,DataObject,Structured descriptions for digital objects,S03_metadata_libguide,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N29,Rights Statements,DataObject,Copyright/permission information in metadata,S07_faqs,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N30,Access Files,DataObject,Internet-ready access copies for research access,S09_digital_yard_transcript,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N31,Preservation Files,DataObject,High-resolution preservation files returned to HBCUs,S09_digital_yard_transcript,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N32,Unique Identifiers,DataObject,Identifiers assigned to objects for tracking/inquiry,S04_metadata_pdf,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N33,OCR Text,DataObject,Searchable text extracted from documents,S09_digital_yard_transcript,Metadata / rights / file object,"Description, rights, identifier, OCR, access, or preservation object created by the workflow."
N34,"Institutional, Cultural, and Community Memory",Concept,Memory sustained through preservation/access,S01_about_trust,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N35,Black Institutional Knowledge Production,Concept,Knowledge production sustained through HBCU infrastructures,S01_about_trust,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N36,Open Public Access,Concept,Access principle for digitized collections,S02_partnerships,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N37,Institutional Ownership and Control,Concept,HBCUs retain copyright/ownership and contact rights,S07_faqs,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
N38,"Respectful, Sensitive, and Accurate Description",Concept,Metadata value and practice,S03_metadata_libguide,Concept / value,"Conceptual or value-bearing node derived from mission, rights, memory, access, or recognition language."
